year,base_year,value,index_type,series_type,series_deflated,data_version
2010,NA,9.86,NA,actual,real,"November 9, 2023"
2011,NA,9.57,NA,actual,real,"November 9, 2023"
2012,NA,9.38,NA,actual,real,"November 9, 2023"
2013,NA,9.27,NA,actual,real,"November 9, 2023"
2014,NA,9.14,NA,actual,real,"November 9, 2023"
2015,NA,9.15,NA,actual,real,"November 9, 2023"
2016,NA,9.06,NA,actual,real,"November 9, 2023"
2017,NA,8.91,NA,actual,real,"November 9, 2023"
2018,NA,8.73,NA,actual,real,"November 9, 2023"
2019,NA,8.61,NA,actual,real,"November 9, 2023"
2020,NA,8.51,NA,actual,real,"November 9, 2023"
2021,NA,8.15,NA,actual,real,"November 9, 2023"
2022,NA,7.57,NA,actual,real,"November 9, 2023"
2023,NA,7.25,NA,actual,real,"November 9, 2023"
1968,1968,1.6,productivity,indexed,nominal,"November 9, 2023"
1969,1968,1.69,productivity,indexed,nominal,"November 9, 2023"
1970,1968,1.8,productivity,indexed,nominal,"November 9, 2023"
1971,1968,1.96,productivity,indexed,nominal,"November 9, 2023"
1972,1968,2.1,productivity,indexed,nominal,"November 9, 2023"
1973,1968,2.27,productivity,indexed,nominal,"November 9, 2023"
1974,1968,2.43,productivity,indexed,nominal,"November 9, 2023"
1975,1968,2.7,productivity,indexed,nominal,"November 9, 2023"
1976,1968,2.92,productivity,indexed,nominal,"November 9, 2023"
1977,1968,3.14,productivity,indexed,nominal,"November 9, 2023"
1978,1968,3.39,productivity,indexed,nominal,"November 9, 2023"
1979,1968,3.67,productivity,indexed,nominal,"November 9, 2023"
1980,1968,3.97,productivity,indexed,nominal,"November 9, 2023"
1981,1968,4.42,productivity,indexed,nominal,"November 9, 2023"
1982,1968,4.64,productivity,indexed,nominal,"November 9, 2023"
1983,1968,4.99,productivity,indexed,nominal,"November 9, 2023"
1984,1968,5.32,productivity,indexed,nominal,"November 9, 2023"
1985,1968,5.59,productivity,indexed,nominal,"November 9, 2023"
1986,1968,5.82,productivity,indexed,nominal,"November 9, 2023"
1987,1968,5.99,productivity,indexed,nominal,"November 9, 2023"
1988,1968,6.29,productivity,indexed,nominal,"November 9, 2023"
1989,1968,6.61,productivity,indexed,nominal,"November 9, 2023"
1990,1968,6.96,productivity,indexed,nominal,"November 9, 2023"
1991,1968,7.26,productivity,indexed,nominal,"November 9, 2023"
1992,1968,7.73,productivity,indexed,nominal,"November 9, 2023"
